company,repository,link,hash,subject,message,changed_file,commit_labels,file_labels
plumgrid,charm-neutron-api-plumgrid,http://github.com/openstack/charm-neutron-api-plumgrid/commit/64f1c0ab86cee37937a0f78d9c04c337cd3523ad,64f1c0ab86cee37937a0f78d9c04c337cd3523ad,Moving to Apache-2.0 License,* All OpenStack charms have re-licensed as Apache 2.0 fromGPL v3PS-2: Added License fileTicket: [SOL-1223]Change-Id: I3aed2a50a52d7ca74ea003925afadade6dc436ceSigned-off-by: Junaid Ali <junaidali@plumgrid.com>," 2 files changed, 214 insertions(+), 5 deletions(-)",,doc-2
red hat,puppet-nova,http://github.com/openstack/puppet-nova/commit/e6711e3906c62850dc6431bd57f5fb58e243a9fc,e6711e3906c62850dc6431bd57f5fb58e243a9fc,Deprecate quota_injected_file_path_bytes (update for Juno),* Deprecate [DEFAULT]/quota_injected_file_path_bytes in favor of[DEFAULT] quota_injected_file_path_length.* Remove quota_max_injected_file_path_bytes parameter.Use new parameters for Juno like it's documented here:http://docs.openstack.org/trunk/config-reference/content/nova-conf-changes-master.htmlChange-Id: Ia408de8fa980b37e6d46dece8d90a83f2083df8aPartial-Bug: #1391099," 2 files changed, 18 insertions(+), 9 deletions(-)",fix;deprecate,deploy-2
cloudbau,openstack-chef,http://github.com/openstack/openstack-chef/commit/546d4289bcf1e5e177fadcbdf9353e58cd5dc3b9,546d4289bcf1e5e177fadcbdf9353e58cd5dc3b9,remove cookbooks from chef-repo that were not refactored and are not supported anymore,* minor style fixes to pass rubocop (chefdk was bumped in another commit incommon)Change-Id: Id8de7ca218a98019f6d3f494c88deb774a23bb90," 3 files changed, 6 insertions(+), 10 deletions(-)",fix;deprecate;refactor,test-1;unknown-1;deploy-1
mirantis,python-fuelclient,http://github.com/openstack/python-fuelclient/commit/211542b8a1a8c2516cd9117beaea07ac608e44fa,211542b8a1a8c2516cd9117beaea07ac608e44fa,Fuel client remove deprecation warning,* Modified FuelClientException class* Added Doc-strings to all Fuel-Client exceptionsWorks. Checked on python 2.6.9 and 2.7.5Closes-bug: #1320225Change-Id: I271b8d407ee9c6110d4d86dbb1c06b1a7cf4e761," 1 file changed, 24 insertions(+), 6 deletions(-)",fix;deprecate,code-1
dell,fuel-ccp,http://github.com/openstack/fuel-ccp/commit/702ee024b7d9db597d97ebd8c878aae1f8ecbdd0,702ee024b7d9db597d97ebd8c878aae1f8ecbdd0,Making topology creation repeatable,* nodes will be always added in the same order* few more unit tests addedChange-Id: Id341c43de2c7f54bc92e99c9e2b88da8577725f5," 2 files changed, 70 insertions(+), 15 deletions(-)",,test-1;code-1
hp,trove,http://github.com/openstack/trove/commit/0cf9c7eaaf60678c74fb12dcdc3997f3a0954518,0cf9c7eaaf60678c74fb12dcdc3997f3a0954518,Refresh setup.py from Oslo,* Part one of a few oslo updates* needed for proper packaging of reddwarfimplements blueprint update-osloChange-Id: I7522d9fcd50a8c161916e5f79748b655862acc3a," 2 files changed, 121 insertions(+), 128 deletions(-)",feature,code-2
orange,networking-bagpipe,http://github.com/openstack/networking-bagpipe/commit/6c8f8751df1cb2ef99bf098cd5599ceabdc3b15b,6c8f8751df1cb2ef99bf098cd5599ceabdc3b15b,MPLS Linux dataplane improvements,* properly support 0.0.0.0/0 routes* use a fallback 'ip rule' rather than an unreachable default route(avoids races when adding/removing the unreachable default route)* avoid to fail when vifPlugging an interface a second time," 1 file changed, 74 insertions(+), 61 deletions(-)",fix;deprecate,code-1
citrix,fuel-plugin-xenserver,http://github.com/openstack/fuel-plugin-xenserver/commit/919898d48fcd9fc5d5c6944832cb7fcff3e806fc,919898d48fcd9fc5d5c6944832cb7fcff3e806fc,Fix test images,* Remove F17-x86_64-cfntools as it is not in use in MOS8* Fix deprecated glance CLI options* Embed cirros inside the pluginChange-Id: Ib2e62e3acb4aa7c21ae3433588cc60a28c8a4a96," 2 files changed, 4 insertions(+), 11 deletions(-)",fix;deprecate,deploy-2
cloudbau,cookbook-openstack-dns,http://github.com/openstack/cookbook-openstack-dns/commit/f6f7f5f10fba2f385773ec005f88a978f5b9dc07,f6f7f5f10fba2f385773ec005f88a978f5b9dc07,Cleanup for deployment and integration test,"* removed direct links to official openstack-chef project, since thiscookbook will incubate in the cloudbau namespace and maybe moved laterto the official openstack/cookbook-* one* set version to 0.1.0 to avoid any assumed link to any official release( 16.0.0 would be pike, but it might be also released with ocata ornewton )* removed version pinning for dependenies for incubation* cleaned up some attributes"," 4 files changed, 13 insertions(+), 49 deletions(-)",deprecate,doc-2;deploy-2
mirantis,mistral,http://github.com/openstack/mistral/commit/91068b5f08592922b6251e684ed574c98add7a38,91068b5f08592922b6251e684ed574c98add7a38,Change format of YAQL errors,* See the bug for details* Style changes in Jinja expressions modulePartial-Bug: #1630473Change-Id: Iad0720ce33aeefb99cc20d102535498203deb3d4," 3 files changed, 61 insertions(+), 21 deletions(-)",fix,test-1;code-2
walmart,openstack-ansible-os_magnum,http://github.com/openstack/openstack-ansible-os_magnum/commit/bacac1826381f880439b4112a49d81580039ff7f,bacac1826381f880439b4112a49d81580039ff7f,Updated role using the Multi-Distro framework,* The default apt packages have been moved into a var filethat is only loaded when the detected OS is matched.* The Install task file has had the apt specific tasks movedinto a named install task file.Change-Id: Idbf1b737a11b0bb2460989b2881395ee87a90429Implements: blueprint multi-platform-host," 7 files changed, 88 insertions(+), 39 deletions(-)",feature,deploy-7
cloudbau,cookbook-openstack-common,http://github.com/openstack/cookbook-openstack-common/commit/83a9525fd03266f75da3317cef24ac3c68e90a8b,83a9525fd03266f75da3317cef24ac3c68e90a8b,install python-openstackclient from pip and not from package,* the packaged version of python-openstackclient for ubuntu and centos are quiteold and we need the new version to completely switch all cookbook logic to theopenstackclient* this patch include the poise-python cookbook and uses its resources to installa python 2 environment and the python-openstackclientChange-Id: I881075dcd11d06d9c1537d929c7626155c01a1d6," 5 files changed, 11 insertions(+), 26 deletions(-)",,deploy-5
dell,fuel-ccp-entrypoint,http://github.com/openstack/fuel-ccp-entrypoint/commit/1881d944a235c7a7b4f0394be28ead89670e1669,1881d944a235c7a7b4f0394be28ead89670e1669,Adding role_name argument to start script,* the right workflow file will be picked* jinja variable {{ role_name }} can be used in templatesChange-Id: I316d58763c6ad070549b4fc85dbd573cd7d95b57," 1 file changed, 7 insertions(+), 6 deletions(-)",,code-1
nokia,vitrage,http://github.com/openstack/vitrage/commit/a46df5719cb7593a82f0ae1cec9a79a50f60d3d7,a46df5719cb7593a82f0ae1cec9a79a50f60d3d7,remove the verbose configuration,* This option is deprecated in Mitaka and has been removed in Newtonref: https://review.openstack.org/#/c/314573/Change-Id: Ia6d0b5f4db8139133dab8fea86d5889fbe39a05c," 1 file changed, 2 insertions(+), 2 deletions(-)",deprecate,deploy-1
intel,nova,https://github.com/openstack/nova/commit/1f528e3c54b4d92ea4516f4a8724acd7cca871b2,1f528e3c54b4d92ea4516f4a8724acd7cca871b2,Improve consistency in virt opts,* Updated header flags* Moved all vars to list* Removed possible values and related options sections where they were notneeded* Added min param where needed* Added interdependenciesImplements: Blueprint centralize-config-options-newtonChange-Id: I50233c15f1a16e841e48870efa54d4781bf965c9," 1 file changed, 136 insertions(+), 228 deletions(-)",deprecate;feature,code-1
intel,nova,https://github.com/openstack/nova/commit/6091de77eda12286786e28ae4f0779e7efc54634,6091de77eda12286786e28ae4f0779e7efc54634,Improve consistency in VNC opts,* Updated header flags* Moved all vars to list* Removed possible values and related options sections where they were notneeded* Changed IntOpt to PortOpt where neededChange-Id: I3255a867091f8e14c907c7fde9a2aa3abc249ae9Implements: Blueprint centralize-config-options-newton," 1 file changed, 96 insertions(+), 206 deletions(-)",deprecate;feature,code-1
red hat,puppet-ceilometer,http://github.com/openstack/puppet-ceilometer/commit/0fb3b8f693ba4cc24bdcfb1f61de843343a13e75,0fb3b8f693ba4cc24bdcfb1f61de843343a13e75,Updates to params.pp for mongo and postgres packages,*) Removed the hardcoded postgres package from db.pp*) Changed the mongo package to python-pymongo for RHELChange-Id: Ib975f9ce03ee8ffa423e75b62b595bcdefdd1eedSigned-off-by: Francesco Vollero <fvollero@redhat.com>," 3 files changed, 18 insertions(+), 18 deletions(-)",deprecate,deploy-3
swiftstack,python-swiftclient,http://github.com/openstack/python-swiftclient/commit/4a6fa02c2832086d3ea5f7fff694c844da980928,4a6fa02c2832086d3ea5f7fff694c844da980928,Identify segments uploaded via swiftclient,"...using a new ""application/swiftclient-segment"" content-type.Segments uploaded by swiftclient are expected to have a many-to-onerelationship to large objects, rather than the more-general many-to-manyrelationship that SLO and DLO generally allow. Later, we may use thisinformation to make more intelligent decisions, such as when toautomatically clean up segments.Change-Id: Ie56a3aa10065db754ac572cc37d93f2c901aac60"," 2 files changed, 25 insertions(+), 19 deletions(-)",,test-1;code-1
lsd ufcg,puppet-cinder,http://github.com/openstack/puppet-cinder/commit/35f4174cc5d41b5ec9e1d45e209559270234f419,35f4174cc5d41b5ec9e1d45e209559270234f419,Deprecate use_syslog and enable_v1/v2_api,"[DEFAULT/use_syslog] was deprecated in Mitaka [1] init.pp logging.pp -deprecate use_syslog, add warning, remove reference tests - remove use_syslogand [DEFAULT/use_syslog] verification.enable_v1/v2_api was deprecated in Mitaka [2] init.ppdeprecate enable_v1_api, enable_v2_apiadd warningremove tests[1] http://docs.openstack.org/mitaka/config-reference/tables/conf-changes/cinder.htmlChange-Id: I76fd567f53ef8f0f4d351d52043e3ba2fea6f02f"," 5 files changed, 43 insertions(+), 34 deletions(-)",deprecate,doc-1;deploy-4
lsd ufcg,puppet-ceilometer,http://github.com/openstack/puppet-ceilometer/commit/40b84c310e6b78226a08e7c04865c037542dfc54,40b84c310e6b78226a08e7c04865c037542dfc54,Deprecate use_syslog,"[DEFAULT/use_syslog] was deprecated in Mitaka [1]init.pp logging.pp - deprecate use_syslog, add warning, remove referencetests - remove use_syslog and [DEFAULT/use_syslog] verification.[1]http://docs.openstack.org/mitaka/config-reference/tables/conf-changes/ceilometer.htmlChange-Id: I352e55586bfb9a030665175dc73a27db35a21fcf"," 4 files changed, 25 insertions(+), 15 deletions(-)",deprecate,doc-1;deploy-3
aptira,tempest,http://github.com/openstack/tempest/commit/c6cb1ec0e000ee5ebdc1fd0dea63716c6829a298,c6cb1ec0e000ee5ebdc1fd0dea63716c6829a298,Fix assert for public networks with multiple subnets,_verify_gateway_port() currently assumes that the fixed ipfor the router gateway is allocated from the first subnet ofthe public network. This is not always the case if thereare multiple subnets on the public network.Change-Id: Ib13ba4aaed42f62397c7db165e765e47d4d49232Closes-Bug: 1624057," 1 file changed, 6 insertions(+), 3 deletions(-)",fix,test-1
grid dynamics,timmy,http://github.com/openstack/timmy/commit/02b0d9851a0286151fc9a4b0cfe6478119d3d2b8,02b0d9851a0286151fc9a4b0cfe6478119d3d2b8,"Implement ""start"" filter, small fixes",+Remove occasionally added 'kern.log' include filter+Fix debug log crash during logs collection," 2 files changed, 12 insertions(+), 8 deletions(-)",fix;deprecate;feature,code-1;deploy-1
openstack foundation,requirements,http://github.com/openstack/requirements/commit/9e98c319abe2099540c4357466443b4183eeb46e,9e98c319abe2099540c4357466443b4183eeb46e,Pin python-subunit to 0.0.13,0.0.14 is broken due to:https://bugs.launchpad.net/subunit/+bug/1216163Which in my testing with nova (and others) produces the errordescribed in that bug.Change-Id: Id00f2f643a0dc3da781ecae2ef3b9f3b562d1145," 2 files changed, 2 insertions(+), 1 deletion(-)",fix,build-2
99cloud,murano,http://github.com/openstack/murano/commit/deb487d8c0e6485200ba7d3cdf2b25b97a6b7ac1,deb487d8c0e6485200ba7d3cdf2b25b97a6b7ac1,Generate separate db for murano service broker,1) Create separate config use the separate config.pyto use: tox -egencfconfig2) Create separate db for murano service brokerto use: tox -e venv murano-cfapi-db-manage \--config-file etc/murano/murano-cfapi.conf upgradeChange-Id: Ifd3551ace000e496d99725f46dbead62f7ef64b0partial-implement: bp separate-service-broker-from-murano," 10 files changed, 200 insertions(+), 18 deletions(-)",feature,doc-1;code-5;build-2;deploy-2
independent,training-labs,http://github.com/openstack/training-labs/commit/a0f9c6237a7c0e7be3f48bcb2c6d073e327833cc,a0f9c6237a7c0e7be3f48bcb2c6d073e327833cc,Moves configuration for demo user,1) Removes config_demo_user script.2) Adds content to configure demo user to setup_keystone script.3) Adds MEMBER_ROLE_NAME (_member_) to config/credentials.Change-Id: I8472046f591eb9330f4281281e921aaba7c72e3c," 4 files changed, 15 insertions(+), 30 deletions(-)",deprecate,deploy-4
nokia,vitrage,http://github.com/openstack/vitrage/commit/254f1d91c24ff8fde11318cb27d73251c0088f33,254f1d91c24ff8fde11318cb27d73251c0088f33,Tempest Gate,1. Fix for local.conf configuration for enabling AODH projectChange-Id: Ieb5c3a1e2959085ffd25e46767a326da12265248," 1 file changed, 6 insertions(+), 4 deletions(-)",fix,deploy-1
yahoo!,cloud-init,http://github.com/openstack/cloud-init/commit/114525e386f757fe91d02ad1caed78aebe80299e,114525e386f757fe91d02ad1caed78aebe80299e,System config niceness!,1. Move out the old helpers that provided oop access/reading/writingto various standard conf files and place those in parsers instead.2. Unify the 'update_hostname' which varied very little	between	distrosand make it generic so that subclasses can only provide a couple offunctions to	obtain the hostname updating functionality3. Implement that new set of functions in rhel/debian4. Use the new parsers chop_comment function for similar usecases as well as add a new utils make header	function thatcan be used for configuration files that are	newly generatedto use (less	duplication here of this same thing being donein multiple places.5. Add in a distro '_apply_hostname' which calls out to	the 'hostname'program to set the system hostname (more duplication	elimination).6. Make the 'constant' filenames being written to for configurationby the various distros be instance members instead of stringconstants 'sprinkled' throughout the code," 11 files changed, 363 insertions(+), 286 deletions(-)",feature,test-3;code-8
nokia,vitrage,http://github.com/openstack/vitrage/commit/eb76d8f2e545572ba96842ba2041c52fa5070439,eb76d8f2e545572ba96842ba2041c52fa5070439,Tempest Gate - Update,"1. Remove DEVSTACK_GATE_NO_SERVICES since it disables all default services(see devstack-gate/features.yaml no_services variable.)2. Remove redundant imports, ceilometer is enabled by default as a service(see 1.) andadding AODH project is already done in vitrage.yaml under project-config/jenkins/jobsChange-Id: I755ca121bdfc02b0b34bbb9d34a000a34d36128c"," 3 files changed, 8 insertions(+), 8 deletions(-)",deprecate,deploy-1
nokia,vitrage,http://github.com/openstack/vitrage/commit/9e28c41fbd30d309eafa5ee7e7d0a080d25e1d68,9e28c41fbd30d309eafa5ee7e7d0a080d25e1d68,Tempest Gate,1. Updated local.conf configuration before running devstack-vm-gate.sh under gate_hook.sh2. Set post_test_hook.sh to run topology tempest tests under vitrage_tempest_tests folderChange-Id: Idd98ac5e2940cb3f869f62cde8deef84ee467ad9," 2 files changed, 2 insertions(+), 2 deletions(-)",,test-2
nokia,vitrage,http://github.com/openstack/vitrage/commit/71670c59f9c6510a1ab33b96cc954ae36299445a,71670c59f9c6510a1ab33b96cc954ae36299445a,Tempest Gate,1. Updated localrc configuration before running devstack-vm-gate.sh under gate_hook.sh2. Fixed(hopefully) post_test_hook.sh to run all tempest tests under vitrage_tempest_tests folderChange-Id: I5f6947fdae7f35669a1d7488b02179dc04caee36," 2 files changed, 31 insertions(+), 21 deletions(-)",fix,test-1;deploy-1
huawei,tricircle,http://github.com/openstack/tricircle/commit/d34b205cec835fbc1506defca768d19fd39cd525,d34b205cec835fbc1506defca768d19fd39cd525,Add Service Function Chain support(2),"1. What is the problemTricircle does not support update for Service Function ChainSmoke test failed2. What is the solution to the problemAdd Service Function Chain update supportThere are some problems with networking-sfc and fixed it3. What the features need to be implemented to the TricircleNoneSigned-off-by: chenyaguang <chenyaguang@szzt.com.cn>Co-Authored-By茂录拧tangzhuo <ztang@hnu.edu.cn>, yinxiulin <yinxiulin@huawei.com>Change-Id: I407cb21c298a433bd12b2032b2af28ca7ebb68f0"," 8 files changed, 641 insertions(+), 29 deletions(-)",fix;feature,test-4;code-4
easystack,horizon,http://github.com/openstack/horizon/commit/c2adfc75089b2a2d492b6e751969b13bf15786a9,c2adfc75089b2a2d492b6e751969b13bf15786a9,py3:Remove six.iterXXX,"1茫As mentioned in [1], we should avoid using six.iteritems/keysachieve iterators. We can use dict.items/keys instead, as it will return iterators in PY3 as well. And dict.items/keys will morereadable.2茫In py2, the performance about list should be negligible,see the link [2].[1] https://wiki.openstack.org/wiki/Python3[2] http://lists.openstack.org/pipermail/openstack-dev/ 2015-June/066391.htmlTrivialFix.Change-Id: I9eb7c4a2b2f3a070735c610942538c8185eee3c6"," 2 files changed, 4 insertions(+), 5 deletions(-)",fix;deprecate,code-2
suse,bifrost,http://github.com/openstack/bifrost/commit/5ef4bc56dd4c846188d0a5ae9e80171fdb6f65f4,5ef4bc56dd4c846188d0a5ae9e80171fdb6f65f4,Allow users to change the default provisioning timeout value,"900 seconds is enough for small images but the larger the image becomesthe more time we need to add it to a host, so allow users to overridethe default value by using the PROVISION_WAIT_TIMEOUT variable.Change-Id: Ia5f35bdf61fa2c8ad348d2a3a7fe181dbe06b096"," 1 file changed, 3 insertions(+), 1 deletion(-)",,test-1
vmware,group-based-policy,http://github.com/openstack/group-based-policy/commit/cb1dff3828db41941b68332811bc4d38bd9550e5,cb1dff3828db41941b68332811bc4d38bd9550e5,Nsx Policy: Use domain id to delete deployment_map,"a deployment_map is configured under a domain, so the domain id shouldbe used in order to delete it successfully.Change-Id: I37ef265888299b9c93c7528be5eedeaf1350548fDepends-On: Ia5df9418add006478365322b1d6001821e121c53"," 1 file changed, 2 insertions(+), 1 deletion(-)",,code-1
red hat,oslo-incubator,http://github.com/openstack/oslo-incubator/commit/4ffc4c8780c590c626984c08bad911324eee8973,4ffc4c8780c590c626984c08bad911324eee8973,Add middleware.request_id shim for Kilo,"A deprecation warning was added to oslo-incubator for Juno, butunfortunately not to any of the projects actually using it.Since this module is referenced in the api paste config, removingthe module from the projec trees without deprecation warningconstitutes an operator-visible backwards incompatible change,which AIUI is not allowed.This mitigates the lack of deprecation period by adding a shim forKilo, which projects can sync before switching their paste defaultsto point to oslo.middlware, we can then remove the shim in L.Change-Id: I11caf1119c44712ed1d15810703e38c50e009709Related-Bug: #1380629"," 2 files changed, 10 insertions(+), 1 deletion(-)",fix;deprecate,doc-1;code-2;build-1
tesora,trove-dashboard,http://github.com/openstack/trove-dashboard/commit/ab3b0ee780257857b51b6b7b0752a4feacec27d5,ab3b0ee780257857b51b6b7b0752a4feacec27d5,Add missing mocks to tests,A horizon change to more strictly detect missing mocks caused testfailures.Need to add the missing mocks to the failing tests.Change-Id: I5fd1b7655e5194389963705bd96d6a90ce099e7dCloses-Bug: #1580353," 1 file changed, 11 insertions(+), 4 deletions(-)",fix,test-1
lenovo,pyghmi,http://github.com/openstack/pyghmi/commit/52e3eb6874d04fcb9677bef90c3b1bcc7f3c8f54,52e3eb6874d04fcb9677bef90c3b1bcc7f3c8f54,Do not hook generic vendor identifier,"A prerelease system was using 7154 vendor id internally,but this is not going to be the case when released.  Stophooking generic value to avoid being overly aggressive.Change-Id: I19258e226c03b0158c9a4a3430eaa1de33c10648"," 1 file changed, 35 insertions(+), 8 deletions(-)",deprecate,code-1
fujitsu,solum,http://github.com/openstack/solum/commit/00f7fe1571e8b78813d1e3a9b40da487ebb09d69,00f7fe1571e8b78813d1e3a9b40da487ebb09d69,Indicating the location tests directory in oslo_debug_helper,"According to [1], we can passing a ""-t"" argument tooslo_debug_helper to indicate the directory where testsare located. This will solves ImportError exception.[1] https://docs.openstack.org/developer/oslotest/features.htmlChange-Id: I055457a0a6789ac27c2cfe7cdc63c3c373df6aaaCloses-Bug: #1666560"," 1 file changed, 1 insertion(+), 1 deletion(-)",fix,build-1
emc,barbican,http://github.com/openstack/barbican/commit/1a6e18eb45d5fb1c63d2f1b14be9e6f1e106282b,1a6e18eb45d5fb1c63d2f1b14be9e6f1e106282b,Metaclass Python 3.x Compatibility,"According to the OpenStack style guide (http://docs.openstack.org/developer/hacking/), for Python 3.x compatibility use ""six.add_metaclass"" instead of "" __metaclass__.""Change-Id: Ic7733a22294ecad30d185851d4f550f1386581fc"," 3 files changed, 6 insertions(+), 5 deletions(-)",,code-3
datacentred,osops-tools-contrib,http://github.com/openstack/osops-tools-contrib/commit/651cd91f8e561a40d79da893ec75fed8634451d4,651cd91f8e561a40d79da893ec75fed8634451d4,Add JSON output and re-factor,"Add a JSON output flag to enable this tool to more easily be called byother scripts and used in pipelines. Re-factor a bit, add a class andremove some code duplicationChange-Id: If4586cf18a7e30580a00e6d9d1d7e166d4001aea"," 1 file changed, 113 insertions(+), 65 deletions(-)",deprecate,code-1
